0.000000	163.647518	msg1
163.624989	163.624989	msg2
171.138266	174.055716	msg3
174.190887	179.259815	msg4
179.793201	279.618679	msg5
283.536561	304.467710	msg6
304.467710	363.128596	msg7
371.393716	377.404713	msg8
378.102418	417.120226	msg9
424.446128	434.938537	msg10
436.333947	443.633014	msg11
446.101816	475.888451	msg12
481.148073	487.481087	msg13
493.223736	500.898490	msg14
501.971883	504.172337	msg15
504.655363	626.284122	msg16
626.284122	794.524939	msg17
794.524939	880.959849	msg18
880.959849	941.150319	msg19
964.335592	982.274660	msg20
982.274660	994.080297	msg21
995.339856	999.972214	msg22
1003.742504	1006.627246	msg23
1006.627246	1017.676477	msg24
1024.905103	1030.952998	msg25
1037.728786	1038.533830	msg26
1039.459631	1045.282784	msg27
1048.221195	1065.502811	msg28
1068.441222	1073.687426	msg29
1075.284097	1076.169646	msg30
1077.082029	1081.509772	msg31
1082.435573	1086.997490	msg32
1087.601273	1088.366065	msg33
1089.600466	1132.106799	msg34
1133.529044	1173.398857	msg35
1173.405566	1222.808444	msg36
1222.808444	1246.020551	msg37
1267.193213	1276.665900	msg38
1276.665900	1279.335963	msg39
1279.770564	1284.512315	msg40
1284.512315	1286.747049	msg41
1287.183781	1316.202174	msg42
1316.202174	1323.723663	msg43
1323.723663	1343.910372	msg44
1351.043656	1360.312072	msg45
1362.058999	1405.839238	msg46
1466.253785	1510.945992	msg47
1512.692919	1517.011710	msg48
1519.632100	1586.015313	msg49
1669.402681	1687.000373	msg50
1692.208338	1696.375900	msg51
1700.894226	1702.582653	msg52
1702.582653	1703.498209	msg53
